SK_ID_CURR,top_1_risk_driver,top_2_risk_driver,top_3_risk_driver,top_1_support_driver,top_2_support_driver,top_3_support_driver
103073,Temporal Behavioral Pattern,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change
103105,External Risk Score 2,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since Last Phone Change,Age Proxy (Days Birth)
103117,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 2,Age Proxy (Days Birth),Annuity Amount
103244,External Risk Score 3,Days Since Last Phone Change,Annuity Amount,External Risk Score 2,Employment Length,Days Since ID Update
103276,Days Since Last Phone Change,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern
103332,Days Since Last Phone Change,Annuity Amount,OWN_CAR_AGE,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2
103375,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Days Since Registration,Days Since Last Phone Change
103393,External Risk Score 2,DEF_30_CNT_SOCIAL_CIRCLE,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since Last Phone Change,Temporal Behavioral Pattern
103521,Days Since Last Phone Change,Annuity Amount,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Temporal Behavioral Pattern,Credit Amount
103528,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 1,Credit Amount
103636,LIVE_CITY_NOT_WORK_CITY,REG_CITY_NOT_WORK_CITY,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 3,External Risk Score 2
103713,External Risk Score 2,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 1,External Risk Score 3,Days Since Last Phone Change
103742,Temporal Behavioral Pattern,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2,OWN_CAR_AGE
103996,External Risk Score 2,Days Since Last Phone Change,External Risk Score 1,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Registration
104269,OCCUPATION_TYPE_Drivers,Annuity Amount,CODE_GENDER_M,Temporal Behavioral Pattern,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
104304,External Risk Score 2,OCCUPATION_TYPE_Drivers,Days Since Last Phone Change,Annuity Amount,Temporal Behavioral Pattern,Temporal Behavioral Pattern
104366,External Risk Score 2,Days Since ID Update,Annuity Amount,Days Since Last Phone Change,Age Proxy (Days Birth),External Risk Score 3
104451,External Risk Score 2,NAME_FAMILY_STATUS_Separated,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3
104477,NAME_FAMILY_STATUS_Separated,Days Since ID Update,OCCUPATION_TYPE_Drivers,Temporal Behavioral Pattern,External Risk Score 2,Temporal Behavioral Pattern
104481,External Risk Score 1,Days Since Last Phone Change,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,Days Since Registration
104599,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3
104676,External Risk Score 2,External Risk Score 3,OCCUPATION_TYPE_Drivers,Days Since Registration,Temporal Behavioral Pattern,Temporal Behavioral Pattern
104755,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since ID Update
104757,OBS_60_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
104846,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
104874,Days Since ID Update,Employment Length,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,Days Since Last Phone Change,External Risk Score 3
104915,Days Since Last Phone Change,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Days Since Registration,Annuity Amount
105006,External Risk Score 3,External Risk Score 1,OCCUPATION_TYPE_Drivers,OWN_CAR_AGE,External Risk Score 2,Days Since ID Update
105183,External Risk Score 3,External Risk Score 1,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,Temporal Behavioral Pattern
105241,Days Since Last Phone Change,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
105402,DEF_30_CNT_SOCIAL_CIRCLE,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,External Risk Score 1
105484,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Goods Price,YEARS_BUILD_MODE,External Risk Score 3,Temporal Behavioral Pattern
105638,External Risk Score 2,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 3
105685,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Annuity Amount,Goods Price
105766,External Risk Score 3,External Risk Score 1,TOTALAREA_MODE,External Risk Score 2,Annuity Amount,Temporal Behavioral Pattern
105831,Temporal Behavioral Pattern,Days Since ID Update,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2
105852,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change,Annuity Amount,Credit Amount,Days Since ID Update
105927,Goods Price,NAME_EDUCATION_TYPE_Secondary_secondary_special,OWN_CAR_AGE,External Risk Score 3,Temporal Behavioral Pattern,Age Proxy (Days Birth)
106097,External Risk Score 2,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 3,Days Since Last Phone Change,Days Since ID Update
106240,External Risk Score 2,Days Since Last Phone Change,Days Since ID Update,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 3
106250,Days Since Last Phone Change,CODE_GENDER_M,Annuity Amount,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
106318,Temporal Behavioral Pattern,Employment Length,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Last Phone Change,Days Since Registration,External Risk Score 3
106696,External Risk Score 3,External Risk Score 1,Annuity Amount,OWN_CAR_AGE,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2
106919,Temporal Behavioral Pattern,CODE_GENDER_M,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since ID Update
107092,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change
107107,External Risk Score 3,External Risk Score 2,Days Since Registration,Annuity Amount,Employment Length,Days Since ID Update
107176,Temporal Behavioral Pattern,Annuity Amount,Goods Price,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3
107243,OCCUPATION_TYPE_Drivers,DEF_30_CNT_SOCIAL_CIRCLE,Days Since ID Update,External Risk Score 3,COMMONAREA_MEDI,YEARS_BUILD_MODE
107382,Days Since ID Update,External Risk Score 1,Days Since Last Phone Change,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
107465,Temporal Behavioral Pattern,Days Since ID Update,Days Since Last Phone Change,External Risk Score 2,External Risk Score 3,Employment Length
107606,External Risk Score 2,NAME_FAMILY_STATUS_Separated,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,WEEKDAY_APPR_PROCESS_START_SUNDAY,Days Since ID Update
107755,Days Since Last Phone Change,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Employment Length,OCCUPATION_TYPE_Medicine_staff
107792,Days Since Registration,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Employment Length
107802,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 3,Age Proxy (Days Birth),External Risk Score 2
107968,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern,Annuity Amount,Age Proxy (Days Birth),Days Since ID Update
108064,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Temporal Behavioral Pattern
108269,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Days Since ID Update
108335,Days Since Last Phone Change,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
108391,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 2,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special
108456,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount
108496,Days Since Last Phone Change,Employment Length,Temporal Behavioral Pattern,External Risk Score 1,External Risk Score 2,Temporal Behavioral Pattern
108624,External Risk Score 2,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since ID Update
108661,External Risk Score 3,External Risk Score 2,Days Since Last Phone Change,Days Since Registration,Age Proxy (Days Birth),Temporal Behavioral Pattern
108884,DEF_30_CNT_SOCIAL_CIRCLE,REG_CITY_NOT_WORK_CITY,Annuity Amount,External Risk Score 1,External Risk Score 2,Days Since ID Update
108954,Days Since Registration,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Days Since ID Update,Region Population Relative
108973,Annuity Amount,Temporal Behavioral Pattern,Age Proxy (Days Birth),External Risk Score 3,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special
109243,Days Since ID Update,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern
109396,Days Since Last Phone Change,Employment Length,CODE_GENDER_M,External Risk Score 1,Days Since Registration,Age Proxy (Days Birth)
109585,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern
109724,External Risk Score 3,OBS_60_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,External Risk Score 2,Days Since Registration,Temporal Behavioral Pattern
109830,Days Since Last Phone Change,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Temporal Behavioral Pattern,Age Proxy (Days Birth)
109915,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Temporal Behavioral Pattern,Temporal Behavioral Pattern
110189,Days Since ID Update,Days Since Last Phone Change,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special
110197,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,Days Since Registration,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount
110306,External Risk Score 2,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,Age Proxy (Days Birth),Days Since Last Phone Change,Temporal Behavioral Pattern
110532,Days Since Registration,Temporal Behavioral Pattern,Days Since ID Update,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
110630,DEF_30_CNT_SOCIAL_CIRCLE,Annuity Amount,CODE_GENDER_M,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
110634,External Risk Score 3,External Risk Score 1,Goods Price,External Risk Score 2,Temporal Behavioral Pattern,Days Since Last Phone Change
110904,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 1,Age Proxy (Days Birth),External Risk Score 3
110949,Days Since Last Phone Change,CODE_GENDER_M,External Risk Score 1,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2
111116,OCCUPATION_TYPE_Drivers,Temporal Behavioral Pattern,Days Since ID Update,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
111225,NAME_FAMILY_STATUS_Separated,Annuity Amount,Age Proxy (Days Birth),External Risk Score 2,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special
111291,Days Since Last Phone Change,Employment Length,OBS_60_CNT_SOCIAL_CIRCLE,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2
111297,External Risk Score 2,OCCUPATION_TYPE_Drivers,Days Since Last Phone Change,External Risk Score 3,YEARS_BUILD_MODE,Employment Length
111364,Days Since ID Update,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,OCCUPATION_TYPE_Medicine_staff,External Risk Score 3
111570,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Registration,Temporal Behavioral Pattern,External Risk Score 3
111578,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,Credit Amount
111588,Days Since ID Update,Annuity Amount,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
111735,Temporal Behavioral Pattern,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 2,OWN_CAR_AGE,External Risk Score 3
111873,Temporal Behavioral Pattern,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since ID Update
111977,Days Since Last Phone Change,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,Days Since ID Update,Temporal Behavioral Pattern
111992,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 1,Age Proxy (Days Birth)
112021,External Risk Score 1,Days Since ID Update,Days Since Last Phone Change,YEARS_BEGINEXPLUATATION_MODE,Temporal Behavioral Pattern,Credit Amount
112144,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,Employment Length,External Risk Score 1,External Risk Score 3,Temporal Behavioral Pattern
112158,External Risk Score 2,Days Since ID Update,NAME_FAMILY_STATUS_Separated,Days Since Registration,Annuity Amount,External Risk Score 3
112196,Days Since Last Phone Change,Temporal Behavioral Pattern,Employment Length,External Risk Score 1,Days Since ID Update,External Risk Score 2
112264,Days Since Registration,Days Since ID Update,Days Since Last Phone Change,External Risk Score 3,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
112319,Days Since ID Update,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Annuity Amount
112372,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Annuity Amount,Age Proxy (Days Birth)
112529,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 3,Days Since Last Phone Change,External Risk Score 2
112636,Temporal Behavioral Pattern,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 3,External Risk Score 2,YEARS_BEGINEXPLUATATION_MODE
112759,Temporal Behavioral Pattern,CODE_GENDER_M,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
112804,External Risk Score 3,External Risk Score 1,Annuity Amount,External Risk Score 2,Temporal Behavioral Pattern,Region Population Relative
112940,Temporal Behavioral Pattern,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
113112,Days Since Last Phone Change,Employment Length,Temporal Behavioral Pattern,External Risk Score 1,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3
113286,External Risk Score 3,Annuity Amount,Days Since ID Update,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern
113453,External Risk Score 3,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 1,External Risk Score 2,Credit Amount
113465,External Risk Score 2,Days Since ID Update,Days Since Last Phone Change,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern
113496,OBS_60_CNT_SOCIAL_CIRCLE,External Risk Score 1,Days Since Last Phone Change,External Risk Score 3,External Risk Score 2,OWN_CAR_AGE
113510,External Risk Score 2,Days Since ID Update,External Risk Score 1,Temporal Behavioral Pattern,External Risk Score 3,Days Since Last Phone Change
113525,External Risk Score 2,CODE_GENDER_M,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Temporal Behavioral Pattern,Days Since Last Phone Change
113626,External Risk Score 3,Days Since Last Phone Change,External Risk Score 1,External Risk Score 2,OWN_CAR_AGE,Days Since Registration
113906,Temporal Behavioral Pattern,Temporal Behavioral Pattern,LIVE_CITY_NOT_WORK_CITY,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
113915,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since ID Update,COMMONAREA_MEDI,NAME_EDUCATION_TYPE_Secondary_secondary_special
114181,Days Since Last Phone Change,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 3,External Risk Score 2,External Risk Score 1
114186,External Risk Score 2,NAME_FAMILY_STATUS_Separated,Days Since Last Phone Change,External Risk Score 3,Days Since ID Update,Temporal Behavioral Pattern
114230,Days Since ID Update,Days Since Last Phone Change,DEF_30_CNT_SOCIAL_CIRCLE,External Risk Score 2,External Risk Score 3,Region Population Relative
114264,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,Days Since Last Phone Change,External Risk Score 3
114268,External Risk Score 2,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 3,Temporal Behavioral Pattern,Region Population Relative
114309,Days Since Last Phone Change,Employment Length,Annuity Amount,External Risk Score 2,External Risk Score 3,Credit Amount
114387,NAME_FAMILY_STATUS_Separated,Days Since Last Phone Change,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,Temporal Behavioral Pattern
114585,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,OWN_CAR_AGE
114598,External Risk Score 1,Temporal Behavioral Pattern,OCCUPATION_TYPE_Drivers,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern
114631,Temporal Behavioral Pattern,Annuity Amount,Region Population Relative,External Risk Score 3,External Risk Score 2,Employment Length
114680,OCCUPATION_TYPE_Drivers,LIVE_CITY_NOT_WORK_CITY,Days Since ID Update,External Risk Score 3,External Risk Score 2,Annuity Amount
114887,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Days Since Last Phone Change
114913,External Risk Score 2,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 1,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special
114924,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Days Since ID Update,YEARS_BEGINEXPLUATATION_MODE
115003,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Days Since Last Phone Change
115145,External Risk Score 2,External Risk Score 1,Days Since ID Update,Annuity Amount,Days Since Last Phone Change,Credit Amount
115305,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Registration,External Risk Score 2,Days Since Last Phone Change
115314,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 1,Total Income,Temporal Behavioral Pattern
115520,External Risk Score 1,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,OWN_CAR_AGE,YEARS_BEGINEXPLUATATION_MODE
115566,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,Days Since Last Phone Change,External Risk Score 3,External Risk Score 2,Days Since Registration
116246,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since ID Update,External Risk Score 3,Days Since Last Phone Change,External Risk Score 2
116353,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since ID Update,Annuity Amount,Temporal Behavioral Pattern
116354,External Risk Score 2,OBS_60_CNT_SOCIAL_CIRCLE,CODE_GENDER_M,Temporal Behavioral Pattern,External Risk Score 3,OWN_CAR_AGE
116356,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Temporal Behavioral Pattern,CODE_GENDER_M
116370,Days Since ID Update,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 2,Temporal Behavioral Pattern,Days Since Last Phone Change
116639,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Annuity Amount,External Risk Score 3,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
116673,Temporal Behavioral Pattern,Days Since Last Phone Change,Temporal Behavioral Pattern,External Risk Score 1,Days Since Registration,Age Proxy (Days Birth)
116698,Days Since Last Phone Change,External Risk Score 1,OWN_CAR_AGE,Days Since ID Update,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special
116782,Temporal Behavioral Pattern,OBS_60_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,External Risk Score 1
116960,Temporal Behavioral Pattern,Temporal Behavioral Pattern,DEF_30_CNT_SOCIAL_CIRCLE,External Risk Score 2,Days Since Last Phone Change,Days Since Registration
116985,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Employment Length,External Risk Score 1,External Risk Score 3,Temporal Behavioral Pattern
117291,DEF_30_CNT_SOCIAL_CIRCLE,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since Last Phone Change,External Risk Score 1
117335,OCCUPATION_TYPE_Drivers,Days Since Last Phone Change,CODE_GENDER_M,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3
117339,External Risk Score 3,External Risk Score 1,Temporal Behavioral Pattern,Age Proxy (Days Birth),External Risk Score 2,Region Population Relative
117466,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Days Since Registration,External Risk Score 2,External Risk Score 3,CODE_GENDER_M
117595,Temporal Behavioral Pattern,Goods Price,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Age Proxy (Days Birth),Days Since ID Update
117600,External Risk Score 2,External Risk Score 3,Days Since ID Update,External Risk Score 1,Temporal Behavioral Pattern,Credit Amount
117602,NAME_FAMILY_STATUS_Separated,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
117607,Days Since Last Phone Change,Temporal Behavioral Pattern,Employment Length,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 2
117658,Annuity Amount,Temporal Behavioral Pattern,CODE_GENDER_M,External Risk Score 2,External Risk Score 1,Days Since Last Phone Change
117761,External Risk Score 2,External Risk Score 1,Days Since ID Update,Annuity Amount,Temporal Behavioral Pattern,Days Since Last Phone Change
