SK_ID_CURR,actual_default,pd_raw,pd_calibrated,credit_grade,decision_recommendation,grade_group,is_investment_grade,is_review_grade,is_high_risk,portfolio_percentile,risk_priority_flag,decision_pd_threshold,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,LGD,EAD,ECL_base
329930,1,0.8321582,0.26637736109161886,D,Reject,High Risk,0,0,1,0.9902615470228158,Immediate Review,Reject,381528.0,18684.0,315000.0,0.7,381528.0,71141.29527579421
269465,1,0.8320672,0.266310742370284,D,Reject,High Risk,0,0,1,0.989983305509182,Immediate Review,Reject,545040.0,26640.0,450000.0,0.7,545040.0,101605.00491504972
352160,0,0.8305055,0.26516932099964036,C,Reject,High Risk,0,0,1,0.9897050639955481,Immediate Review,Reject,392427.0,31135.5,324000.0,,392427.0,
321933,0,0.8296485,0.26454428761762244,C,Reject,High Risk,0,0,1,0.9894268224819143,Immediate Review,Reject,781920.0,42417.0,675000.0,,781920.0,
107107,0,0.8284641,0.26368201953716863,C,Reject,High Risk,0,0,1,0.9891485809682805,Immediate Review,Reject,450000.0,11871.0,450000.0,,450000.0,
150291,1,0.8269223,0.2625622715848206,D,Reject,High Risk,0,0,1,0.9888703394546466,Immediate Review,Reject,436032.0,21339.0,360000.0,0.7,436032.0,80139.88668257074
341245,1,0.8243459,0.26069796596631467,D,Reject,High Risk,0,0,1,0.9885920979410128,Immediate Review,Reject,1185120.0,42696.0,900000.0,0.7,1185120.0,216270.86139819917
212434,0,0.8243256,0.26068333569487717,C,Reject,High Risk,0,0,1,0.988313856427379,Immediate Review,Reject,272520.0,21658.5,225000.0,,272520.0,
452710,1,0.82227916,0.25920867579320794,D,Reject,High Risk,0,0,1,0.9880356149137451,Immediate Review,Reject,161730.0,10939.5,135000.0,0.7,161730.0,29345.27339522486
396784,0,0.82201755,0.25902055780849603,C,Reject,High Risk,0,0,1,0.9877573734001113,Immediate Review,Reject,675000.0,19867.5,675000.0,,675000.0,
346101,0,0.82048345,0.25791918378759254,C,Reject,High Risk,0,0,1,0.9874791318864775,Immediate Review,Reject,495000.0,23944.5,495000.0,,495000.0,
228927,0,0.8196418,0.2573162637893976,C,Reject,High Risk,0,0,1,0.9872008903728436,Immediate Review,Reject,1006920.0,51543.0,900000.0,,1006920.0,
135603,1,0.818865,0.25676057648355305,D,Reject,High Risk,0,0,1,0.9869226488592098,Immediate Review,Reject,545040.0,26509.5,450000.0,0.7,545040.0,97961.34922461702
189821,0,0.81838256,0.2564158686784154,C,Reject,High Risk,0,0,1,0.986644407345576,Immediate Review,Reject,254700.0,20250.0,225000.0,,254700.0,
331070,1,0.81828696,0.2563475934281854,D,Reject,High Risk,0,0,1,0.9863661658319421,Immediate Review,Reject,45000.0,4905.0,45000.0,0.7,45000.0,8074.9491929878395
389242,0,0.8181152,0.2562249492539622,C,Reject,High Risk,0,0,1,0.9860879243183083,Immediate Review,Reject,544068.0,26590.5,382500.0,,544068.0,
246187,0,0.8171927,0.25556698014148743,C,Reject,High Risk,0,0,1,0.9858096828046744,Immediate Review,Reject,1054773.0,34987.5,945000.0,,1054773.0,
405129,1,0.8167387,0.255243611022416,D,Reject,High Risk,0,0,1,0.9855314412910406,Immediate Review,Reject,225000.0,21582.0,225000.0,0.7,225000.0,40200.86873603052
373502,0,0.8160765,0.2547723720717689,C,Reject,High Risk,0,0,1,0.9852531997774068,Immediate Review,Reject,595912.5,44685.0,562500.0,,595912.5,
352173,1,0.81492686,0.2539556181496439,D,Reject,High Risk,0,0,1,0.9849749582637729,Immediate Review,Reject,315000.0,14004.0,315000.0,0.7,315000.0,55997.21380199648
371316,0,0.81434256,0.253541170843086,C,Reject,High Risk,0,0,1,0.9846967167501391,Immediate Review,Reject,454500.0,30501.0,454500.0,,454500.0,
275086,0,0.8142399,0.25346841495345834,C,Reject,High Risk,0,0,1,0.9844184752365053,Immediate Review,Reject,260640.0,20169.0,225000.0,,260640.0,
255092,0,0.81298745,0.2525817100721354,C,Reject,High Risk,0,0,1,0.9841402337228714,Immediate Review,Reject,1154565.0,38286.0,945000.0,,1154565.0,
418329,0,0.8127389,0.25240598916858564,C,Reject,High Risk,0,0,1,0.9838619922092376,Immediate Review,Reject,312768.0,17095.5,270000.0,,312768.0,
402884,1,0.8116739,0.2516539613670087,D,Reject,High Risk,0,0,1,0.9835837506956038,Immediate Review,Reject,225000.0,20637.0,225000.0,0.7,225000.0,39635.49891530387
295148,0,0.81063217,0.25091983007826835,C,Reject,High Risk,0,0,1,0.9833055091819699,Immediate Review,Reject,291384.0,23490.0,270000.0,,291384.0,
381818,1,0.8100733,0.2505265733593469,D,Reject,High Risk,0,0,1,0.9830272676683361,Immediate Review,Reject,916470.0,32598.0,765000.0,0.7,916470.0,160720.06208064847
143347,0,0.8090759,0.24982572105165063,C,Reject,High Risk,0,0,1,0.9827490261547023,Immediate Review,Reject,675000.0,49248.0,675000.0,,675000.0,
295896,0,0.80632544,0.24789986412139414,C,Reject,High Risk,0,0,1,0.9824707846410684,Immediate Review,Reject,738108.0,53842.5,630000.0,,738108.0,
225042,0,0.8059378,0.24762926367228705,C,Reject,High Risk,0,0,1,0.9821925431274346,Immediate Review,Reject,728460.0,44694.0,675000.0,,728460.0,
238875,0,0.8050326,0.24699807997303186,C,Reject,High Risk,0,0,1,0.9819143016138008,Immediate Review,Reject,735579.0,40032.0,585000.0,,735579.0,
335919,0,0.80487454,0.2468879717062071,C,Reject,High Risk,0,0,1,0.9816360601001669,Immediate Review,Reject,562500.0,21924.0,562500.0,,562500.0,
294938,0,0.8047275,0.2467855740716431,C,Reject,High Risk,0,0,1,0.9813578185865331,Immediate Review,Reject,521280.0,23089.5,450000.0,,521280.0,
260619,0,0.8041207,0.24636333547445943,C,Reject,High Risk,0,0,1,0.9810795770728993,Immediate Review,Reject,835380.0,40320.0,675000.0,,835380.0,
388028,1,0.802249,0.24506393253634107,D,Reject,High Risk,0,0,1,0.9808013355592654,Immediate Review,Reject,254700.0,20119.5,225000.0,0.7,254700.0,43692.44853190424
194172,1,0.8003869,0.2437757927858248,D,Reject,High Risk,0,0,1,0.9805230940456316,Immediate Review,Reject,339241.5,16627.5,238500.0,0.7,339241.5,57889.20592584667
221759,0,0.7998889,0.2434320751871155,C,Reject,High Risk,0,0,1,0.9802448525319978,Immediate Review,Reject,523597.5,25317.0,468000.0,,523597.5,
319320,0,0.7973684,0.24169747068483535,C,Reject,High Risk,0,0,1,0.9799666110183639,Immediate Review,Reject,254700.0,27153.0,225000.0,,254700.0,
275889,1,0.796498,0.24110041816794578,D,Reject,High Risk,0,0,1,0.9796883695047301,Immediate Review,Reject,675000.0,32602.5,675000.0,0.7,675000.0,113919.94758435436
258658,0,0.7960529,0.24079547362622888,C,Reject,High Risk,0,0,1,0.9794101279910963,Immediate Review,Reject,254700.0,17149.5,225000.0,,254700.0,
345400,0,0.79603446,0.24078286175194452,C,Reject,High Risk,0,0,1,0.9791318864774624,Immediate Review,Reject,1223010.0,48631.5,1125000.0,,1223010.0,
226092,0,0.7959552,0.24072858278200812,C,Reject,High Risk,0,0,1,0.9788536449638287,Immediate Review,Reject,270000.0,16209.0,270000.0,,270000.0,
170272,1,0.7958419,0.24065101509439651,D,Reject,High Risk,0,0,1,0.9785754034501948,Immediate Review,Reject,225000.0,10944.0,225000.0,0.7,225000.0,37902.53487736745
346941,0,0.7957601,0.24059504313193805,C,Reject,High Risk,0,0,1,0.9782971619365609,Immediate Review,Reject,292500.0,13014.0,292500.0,,292500.0,
160449,1,0.79567635,0.24053773412302756,D,Reject,High Risk,0,0,1,0.9780189204229272,Immediate Review,Reject,657702.0,21343.5,549000.0,0.7,657702.0,110741.50416572843
230242,0,0.7953105,0.24028747861162175,C,Reject,High Risk,0,0,1,0.9777406789092933,Immediate Review,Reject,454500.0,17608.5,454500.0,,454500.0,
424945,0,0.79473484,0.23989406795013193,C,Reject,High Risk,0,0,1,0.9774624373956594,Immediate Review,Reject,276277.5,21955.5,238500.0,,276277.5,
223651,0,0.79414165,0.23948914284056966,C,Reject,High Risk,0,0,1,0.9771841958820257,Immediate Review,Reject,450000.0,53406.0,450000.0,,450000.0,
390599,0,0.79381466,0.239266129801768,C,Reject,High Risk,0,0,1,0.9769059543683918,Immediate Review,Reject,302206.5,15952.5,229500.0,,302206.5,
294472,0,0.7936187,0.2391325365683376,C,Reject,High Risk,0,0,1,0.9766277128547579,Immediate Review,Reject,71316.0,7182.0,63000.0,,71316.0,
270225,1,0.7932108,0.23885466577845274,D,Reject,High Risk,0,0,1,0.976349471341124,Immediate Review,Reject,237024.0,18855.0,180000.0,0.7,237024.0,39630.001811030386
360086,0,0.7931193,0.23879236511955373,C,Reject,High Risk,0,0,1,0.9760712298274903,Immediate Review,Reject,254700.0,17149.5,225000.0,,254700.0,
107606,1,0.7928204,0.2385889003231869,D,Reject,High Risk,0,0,1,0.9757929883138564,Immediate Review,Reject,269550.0,21739.5,225000.0,0.7,269550.0,45018.146657480516
293906,1,0.79266006,0.23847981273512098,D,Reject,High Risk,0,0,1,0.9755147468002225,Immediate Review,Reject,432661.5,29398.5,373500.0,0.7,432661.5,72226.72344838758
440828,1,0.7925556,0.23840874175324386,D,Reject,High Risk,0,0,1,0.9752365052865888,Immediate Review,Reject,284400.0,19134.0,225000.0,0.7,284400.0,47462.41230823579
222990,0,0.79141796,0.23763588970760688,C,Reject,High Risk,0,0,1,0.9749582637729549,Immediate Review,Reject,419679.0,33286.5,346500.0,,419679.0,
281264,0,0.79099524,0.2373491521755188,C,Reject,High Risk,0,0,1,0.974680022259321,Immediate Review,Reject,463284.0,17595.0,382500.0,,463284.0,
282892,0,0.790635,0.2371049746173762,C,Reject,High Risk,0,0,1,0.9744017807456873,Immediate Review,Reject,814041.0,23800.5,679500.0,,814041.0,
107968,1,0.7902632,0.23685314107353966,D,Reject,High Risk,0,0,1,0.9741235392320534,Immediate Review,Reject,337500.0,12852.0,337500.0,0.7,337500.0,55956.55457862374
145122,1,0.7892828,0.23619000566946413,D,Reject,High Risk,0,0,1,0.9738452977184195,Immediate Review,Reject,545040.0,26640.0,450000.0,0.7,545040.0,90113.1004830593
296983,0,0.7892611,0.23617534476586824,C,Reject,High Risk,0,0,1,0.9735670562047858,Immediate Review,Reject,675000.0,26154.0,675000.0,,675000.0,
249146,0,0.7888774,0.23591618424618613,C,Reject,High Risk,0,0,1,0.9732888146911519,Immediate Review,Reject,675000.0,53460.0,675000.0,,675000.0,
123069,0,0.7888299,0.23588410985210842,C,Reject,High Risk,0,0,1,0.973010573177518,Immediate Review,Reject,152820.0,8901.0,135000.0,,152820.0,
252183,0,0.7883327,0.23554857610442703,C,Reject,High Risk,0,0,1,0.9727323316638843,Immediate Review,Reject,291384.0,23359.5,270000.0,,291384.0,
329914,0,0.7881352,0.23541537135669652,C,Reject,High Risk,0,0,1,0.9724540901502504,Immediate Review,Reject,1257430.5,36765.0,1098000.0,,1257430.5,
180048,0,0.78571105,0.2337849072126356,C,Reject,High Risk,0,0,1,0.9721758486366165,Immediate Review,Reject,254700.0,25191.0,225000.0,,254700.0,
331629,1,0.7849117,0.2332489825011937,D,Reject,High Risk,0,0,1,0.9718976071229828,Immediate Review,Reject,545040.0,26509.5,450000.0,0.7,545040.0,88991.01779571542
401414,0,0.78482425,0.23319041076484634,C,Reject,High Risk,0,0,1,0.9716193656093489,Immediate Review,Reject,369720.0,29340.0,292500.0,,369720.0,
133604,0,0.7842393,0.23279883834549803,C,Reject,High Risk,0,0,1,0.971341124095715,Immediate Review,Reject,1078200.0,38331.0,900000.0,,1078200.0,
365298,0,0.7838559,0.23254245416680666,C,Reject,High Risk,0,0,1,0.9710628825820813,Immediate Review,Reject,450000.0,21888.0,450000.0,,450000.0,
122495,0,0.78361666,0.23238255298306115,C,Reject,High Risk,0,0,1,0.9707846410684474,Immediate Review,Reject,254700.0,20250.0,225000.0,,254700.0,
295089,0,0.78353506,0.23232803521219209,C,Reject,High Risk,0,0,1,0.9705063995548135,Immediate Review,Reject,270000.0,13500.0,270000.0,,270000.0,
251679,0,0.78292793,0.23192267762400484,C,Reject,High Risk,0,0,1,0.9702281580411798,Immediate Review,Reject,328405.5,28314.0,283500.0,,328405.5,
376001,0,0.7827766,0.23182171359616854,C,Reject,High Risk,0,0,1,0.9699499165275459,Immediate Review,Reject,508495.5,38146.5,454500.0,,508495.5,
398535,0,0.78270024,0.2317707859306664,C,Reject,High Risk,0,0,1,0.969671675013912,Immediate Review,Reject,337923.0,12870.0,279000.0,,337923.0,
240758,1,0.7826688,0.2317498366925743,D,Reject,High Risk,0,0,1,0.9693934335002783,Immediate Review,Reject,268659.0,17950.5,243000.0,0.7,268659.0,43583.175563193225
441850,0,0.78196675,0.2312819444831753,C,Reject,High Risk,0,0,1,0.9691151919866444,Immediate Review,Reject,781920.0,37746.0,675000.0,,781920.0,
178688,0,0.7817167,0.23111546785637896,C,Reject,High Risk,0,0,1,0.9688369504730105,Immediate Review,Reject,1006920.0,40063.5,900000.0,,1006920.0,
349251,0,0.7810467,0.23066978729346965,C,Reject,High Risk,0,0,1,0.9685587089593768,Immediate Review,Reject,808650.0,23773.5,675000.0,,808650.0,
140619,0,0.78097415,0.23062157207819212,C,Reject,High Risk,0,0,1,0.9682804674457429,Immediate Review,Reject,497520.0,52920.0,450000.0,,497520.0,
189448,0,0.78003347,0.22999695866015324,C,Reject,High Risk,0,0,1,0.968002225932109,Immediate Review,Reject,549882.0,17869.5,459000.0,,549882.0,
207184,0,0.7798057,0.22984591123240453,C,Reject,High Risk,0,0,1,0.9677239844184753,Immediate Review,Reject,273636.0,31000.5,247500.0,,273636.0,
181882,1,0.7792144,0.22945405055056053,D,Reject,High Risk,0,0,1,0.9674457429048414,Immediate Review,Reject,450000.0,22018.5,450000.0,0.7,450000.0,72278.02592342657
139778,1,0.7790232,0.22932744105553615,D,Reject,High Risk,0,0,1,0.9671675013912076,Immediate Review,Reject,991944.0,35271.0,828000.0,0.7,991944.0,159235.9854332749
215141,0,0.7789711,0.22929295557942736,C,Reject,High Risk,0,0,1,0.9668892598775737,Immediate Review,Reject,135000.0,14539.5,135000.0,,135000.0,
307043,0,0.77883923,0.22920569282666128,C,Reject,High Risk,0,0,1,0.9666110183639399,Immediate Review,Reject,700830.0,27283.5,585000.0,,700830.0,
162656,1,0.7779656,0.22862806815791603,D,Reject,High Risk,0,0,1,0.966332776850306,Immediate Review,Reject,409500.0,19102.5,409500.0,0.7,409500.0,65536.23573746663
272554,0,0.77786905,0.22856428770841006,C,Reject,High Risk,0,0,1,0.9660545353366722,Immediate Review,Reject,284400.0,13387.5,225000.0,,284400.0,
308485,0,0.7778054,0.2285222467053586,C,Reject,High Risk,0,0,1,0.9657762938230384,Immediate Review,Reject,239850.0,28462.5,225000.0,,239850.0,
115305,0,0.77757955,0.2283731395254922,C,Reject,High Risk,0,0,1,0.9654980523094046,Immediate Review,Reject,499221.0,25618.5,373500.0,,499221.0,
163887,0,0.7775678,0.22836538892754019,C,Reject,High Risk,0,0,1,0.9652198107957707,Immediate Review,Reject,1649376.0,51916.5,1350000.0,,1649376.0,
342312,1,0.777103,0.2280587399107991,D,Reject,High Risk,0,0,1,0.9649415692821369,Immediate Review,Reject,969579.0,37863.0,837000.0,0.7,969579.0,154784.67548878086
129371,0,0.77667874,0.2277790846260341,C,Reject,High Risk,0,0,1,0.964663327768503,Immediate Review,Reject,526491.0,19039.5,454500.0,,526491.0,
455654,0,0.77623147,0.2274845258857012,C,Reject,High Risk,0,0,1,0.9643850862548692,Immediate Review,Reject,338314.5,22608.0,306000.0,,338314.5,
415348,1,0.7759571,0.2273039747667893,D,Reject,High Risk,0,0,1,0.9641068447412354,Immediate Review,Reject,586633.5,30712.5,445500.0,0.7,586633.5,93340.8883969473
382021,0,0.7745682,0.22639151433897262,C,Reject,High Risk,0,0,1,0.9638286032276016,Immediate Review,Reject,207000.0,19116.0,207000.0,,207000.0,
248034,1,0.7735741,0.22574002935631646,D,Reject,High Risk,0,0,1,0.9635503617139677,Immediate Review,Reject,640080.0,29839.5,450000.0,0.7,640080.0,101144.17459327372
330103,0,0.7734226,0.2256408491205383,C,Reject,High Risk,0,0,1,0.9632721202003339,Immediate Review,Reject,99504.0,10444.5,90000.0,,99504.0,
291548,0,0.77237153,0.22495368038821265,C,Reject,High Risk,0,0,1,0.9629938786867001,Immediate Review,Reject,225000.0,11619.0,225000.0,,225000.0,
337215,0,0.77206784,0.22475541319613315,C,Reject,High Risk,0,0,1,0.9627156371730662,Immediate Review,Reject,814041.0,23931.0,679500.0,,814041.0,
308384,0,0.77170885,0.2245211938320706,C,Reject,High Risk,0,0,1,0.9624373956594324,Immediate Review,Reject,405000.0,21969.0,405000.0,,405000.0,
203587,0,0.7716404,0.22447657067324117,C,Reject,High Risk,0,0,1,0.9621591541457986,Immediate Review,Reject,755190.0,38686.5,675000.0,,755190.0,
284182,0,0.77121776,0.22420108072980693,C,Reject,High Risk,0,0,1,0.9618809126321647,Immediate Review,Reject,140166.0,6741.0,117000.0,,140166.0,
129489,0,0.7705529,0.2237681884640368,C,Reject,High Risk,0,0,1,0.9616026711185309,Immediate Review,Reject,180000.0,14350.5,180000.0,,180000.0,
410783,0,0.7700082,0.22341401345577325,C,Reject,High Risk,0,0,1,0.9613244296048971,Immediate Review,Reject,450000.0,35554.5,450000.0,,450000.0,
444964,0,0.7697278,0.22323184930697498,C,Reject,High Risk,0,0,1,0.9610461880912632,Immediate Review,Reject,286704.0,12627.0,247500.0,,286704.0,
340637,0,0.76945037,0.22305168692264343,C,Reject,High Risk,0,0,1,0.9607679465776294,Immediate Review,Reject,843088.5,34465.5,670500.0,,843088.5,
262094,0,0.7683418,0.22233288495430376,C,Reject,High Risk,0,0,1,0.9604897050639956,Immediate Review,Reject,521280.0,28408.5,450000.0,,521280.0,
341335,0,0.76774323,0.22194547658007457,C,Reject,High Risk,0,0,1,0.9602114635503617,Immediate Review,Reject,354276.0,23193.0,292500.0,,354276.0,
266567,0,0.76769626,0.22191509690574052,C,Reject,High Risk,0,0,1,0.9599332220367279,Immediate Review,Reject,704844.0,34038.0,630000.0,,704844.0,
179927,1,0.7676646,0.22189462699954718,D,Reject,High Risk,0,0,1,0.9596549805230941,Immediate Review,Reject,390960.0,17352.0,337500.0,0.7,390960.0,60726.34636022008
400951,0,0.76753396,0.22181014027982188,C,Reject,High Risk,0,0,1,0.9593767390094602,Immediate Review,Reject,550980.0,40221.0,450000.0,,550980.0,
272411,0,0.76673764,0.22129570032954288,C,Reject,High Risk,0,0,1,0.9590984974958264,Immediate Review,Reject,521280.0,31630.5,450000.0,,521280.0,
399818,1,0.766492,0.22113718962620466,D,Reject,High Risk,0,0,1,0.9588202559821926,Immediate Review,Reject,314100.0,19111.5,225000.0,0.7,314100.0,48621.43388311361
165117,0,0.7659842,0.22080973305124352,C,Reject,High Risk,0,0,1,0.9585420144685587,Immediate Review,Reject,781920.0,33259.5,675000.0,,781920.0,
276867,0,0.7652573,0.22034163689657216,C,Reject,High Risk,0,0,1,0.9582637729549248,Immediate Review,Reject,942300.0,30528.0,675000.0,,942300.0,
417134,0,0.7652466,0.2203347714166324,C,Reject,High Risk,0,0,1,0.9579855314412911,Immediate Review,Reject,144801.0,11740.5,117000.0,,144801.0,
414643,0,0.7652418,0.22033166474150803,C,Reject,High Risk,0,0,1,0.9577072899276572,Immediate Review,Reject,381528.0,27778.5,315000.0,,381528.0,
153664,0,0.7651954,0.220301826919179,C,Reject,High Risk,0,0,1,0.9574290484140233,Immediate Review,Reject,781920.0,42547.5,675000.0,,781920.0,
389965,1,0.76429754,0.21972466459156836,D,Reject,High Risk,0,0,1,0.9571508069003896,Immediate Review,Reject,484789.5,32926.5,418500.0,0.7,484789.5,74564.14719950988
204082,0,0.7637903,0.21939909283563946,C,Reject,High Risk,0,0,1,0.9568725653867557,Immediate Review,Reject,384048.0,18810.0,270000.0,,384048.0,
141183,0,0.76318747,0.2190126071952662,C,Reject,High Risk,0,0,1,0.9565943238731218,Immediate Review,Reject,808650.0,26217.0,675000.0,,808650.0,
379331,0,0.76245224,0.21854191403408715,C,Reject,High Risk,0,0,1,0.9563160823594881,Immediate Review,Reject,450000.0,21888.0,450000.0,,450000.0,
353136,0,0.76081234,0.21749466825358654,C,Reject,High Risk,0,0,1,0.9560378408458542,Immediate Review,Reject,675000.0,34596.0,675000.0,,675000.0,
369356,0,0.7596975,0.21678479706915643,C,Reject,High Risk,0,0,1,0.9557595993322203,Immediate Review,Reject,284400.0,22599.0,225000.0,,284400.0,
319742,0,0.75969,0.21678002068962723,C,Reject,High Risk,0,0,1,0.9554813578185866,Immediate Review,Reject,450000.0,27324.0,450000.0,,450000.0,
439364,0,0.7591844,0.21645866196704838,C,Reject,High Risk,0,0,1,0.9552031163049527,Immediate Review,Reject,315000.0,15318.0,315000.0,,315000.0,
212666,1,0.7582787,0.21588382931635258,D,Reject,High Risk,0,0,1,0.9549248747913188,Immediate Review,Reject,247275.0,19953.0,225000.0,0.7,247275.0,37367.87172594076
413084,1,0.7569759,0.21505887451866704,D,Reject,High Risk,0,0,1,0.9546466332776851,Immediate Review,Reject,728460.0,57685.5,675000.0,0.7,728460.0,109663.25141230774
444244,0,0.7568136,0.21495626476004778,C,Reject,High Risk,0,0,1,0.9543683917640512,Immediate Review,Reject,592560.0,32274.0,450000.0,,592560.0,
278924,1,0.75614434,0.2145335399560072,D,Reject,High Risk,0,0,1,0.9540901502504173,Immediate Review,Reject,225000.0,17775.0,225000.0,0.7,225000.0,33789.03254307114
120232,0,0.75571257,0.2142611302748242,C,Reject,High Risk,0,0,1,0.9538119087367836,Immediate Review,Reject,135000.0,7735.5,135000.0,,135000.0,
